registered_voters,vote_datetime,actual_voters,num_candidates,votes_per_candidate_1,registered_per_candidate_1,votes_per_candidate_2,registered_per_candidate_2,votes_per_candidate_3,registered_per_candidate_3,votes_per_candidate_4,registered_per_candidate_4,votes_per_candidate_5,registered_per_candidate_5,votes_per_candidate_6,registered_per_candidate_6,votes_per_candidate_7,registered_per_candidate_7,votes_per_candidate_8,registered_per_candidate_8,votes_per_candidate_9,registered_per_candidate_9,votes_per_candidate_10,registered_per_candidate_10
3700,1756377312.411845,1939,6,307,592,349,614,318,636,312,661,330,589,323,608,0,0,0,0,0,0,0,0
3488,1756380912.411845,2922,3,1030,1173,953,1159,939,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3470,1756384512.411845,1285,8,170,443,162,448,166,443,163,414,170,396,137,447,156,448,161,431,0,0,0,0
4791,1756388112.411845,2697,6,429,793,421,810,449,800,483,785,439,791,476,812,0,0,0,0,0,0,0,0
4411,1756391712.411845,3495,7,526,643,476,568,481,628,520,627,466,661,515,616,511,668,0,0,0,0,0,0
1911,1756395312.411845,1577,7,239,281,226,256,198,284,225,260,228,275,215,285,246,270,0,0,0,0,0,0
2270,1756398912.411845,1321,4,334,581,344,577,302,550,341,562,0,0,0,0,0,0,0,0,0,0,0,0
1007,1756402512.411845,330,3,109,353,104,320,117,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3158,1756406112.411845,2919,6,490,576,496,518,487,496,468,540,492,513,486,515,0,0,0,0,0,0,0,0
2392,1756409712.411845,1960,1,1960,2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4938,1756413312.411845,2736,8,347,643,338,597,359,627,326,608,332,637,323,608,334,593,377,625,0,0,0,0
1272,1756416912.411845,1100,4,289,318,287,297,260,301,264,356,0,0,0,0,0,0,0,0,0,0,0,0
4793,1756420512.411845,4493,9,499,535,526,535,512,562,474,500,473,529,533,530,481,550,497,520,498,532,0,0
3589,1756424112.411845,2377,2,1191,1759,1186,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2478,1756427712.411845,995,1,995,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3430,1756431312.411845,1470,10,180,343,140,355,146,361,144,355,124,325,133,344,157,327,150,360,158,317,138,343
2577,1756434912.411845,1849,10,197,258,161,235,173,284,183,267,183,268,196,246,206,282,172,250,186,225,192,262
4626,1756438512.411845,3256,2,1673,2294,1583,2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2695,1756442112.411845,918,9,114,291,107,298,86,290,105,285,106,299,93,310,101,321,105,321,101,280,0,0
2506,1756445712.411845,1942,6,326,435,293,423,331,422,300,400,345,420,347,406,0,0,0,0,0,0,0,0
2489,1756449312.411845,1857,3,645,793,629,838,583,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4884,1756452912.411845,3077,1,3077,4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3390,1756456512.411845,3165,6,527,503,545,602,503,585,517,568,518,587,555,545,0,0,0,0,0,0,0,0
3476,1756460112.411845,1549,2,768,1775,781,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3977,1756463712.411845,3064,8,385,471,390,508,381,538,382,466,372,502,385,507,379,466,390,519,0,0,0,0
2031,1756467312.411845,675,9,79,207,74,229,71,217,69,230,73,225,75,247,80,223,70,231,84,222,0,0
2490,1756470912.411845,1616,4,411,606,388,646,406,600,411,638,0,0,0,0,0,0,0,0,0,0,0,0
4991,1756474512.411845,2410,7,357,749,322,688,349,747,357,714,349,723,353,693,323,677,0,0,0,0,0,0
4158,1756478112.411845,2393,10,258,393,224,405,252,437,222,397,249,468,220,417,236,421,262,424,250,415,220,381
1391,1756481712.411845,763,6,134,221,140,245,129,231,119,228,108,225,133,241,0,0,0,0,0,0,0,0
4413,1756485312.411845,4202,6,663,687,713,698,729,770,715,763,687,737,695,758,0,0,0,0,0,0,0,0
4020,1756488912.411845,3366,5,680,830,713,781,688,795,635,817,650,797,0,0,0,0,0,0,0,0,0,0
4369,1756492512.411845,4048,6,657,738,663,744,687,683,676,724,701,744,664,736,0,0,0,0,0,0,0,0
1984,1756496112.411845,1825,8,216,234,232,270,253,250,232,251,203,263,218,222,223,246,248,248,0,0,0,0
